title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
Avis de la CNIL sur le projet Data Mining (DGFiP),2021,"[ ""Damien Robinet"" ]",avis,JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE,Délibération no 2020-124 du 10 décembre 2020 portant avis sur un projet de décret portant modalités de mise en œuvre par la direction générale des finances publiques et la direction générale des douanes et droits indirects de traitements informatisés et automatisés permettant la collecte et l’exploitation de données rendues publiques sur les sites internet des opérateurs de plateformes en ligne.,,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_180623-ls0
AMI IA - 15 nouveaux projets dans le service public,2019,"[ ""PA Chevalier"", ""William Eldin"" ]",communiqué,DITP,Présentation des 15 projets issus de l'appel à manifestations de la DITP pour l'IA dans le service public,,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_123453-uva
Décision du Conseil d'état sur l'application DataJust (rejet de la demande d'annulation),2021,"[ ""Sumi Saint-Auguste"", ""Félix Tréguer"" ]",décision de justice,Conseil d'état Ariane Web,Rejet de la demande d'annulation pour excès de pouvoirs de DataJust (traitement automatisé de données à caractère personnel) déposé par plusieurs associations dont la Quadrature du Net et APF France Handicap.,Conseil d'état,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_155721-s3v
EIG Cour des Comptes,2016,"[ ""Frédéric Bardolle"" ]",présentation (projet),Etalab,Page du projet EIG de la Cour des comptes et des acteurs : Frédéric Bardolle (EIG) et Adnène Trojette (Cour des Comptes). Mieux informer les citoyens sur l'emploi de l'argent public. (Promotion 1),,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221115_140110-ado
Reconnaissance faciale : questions d'éthique,2019,"[ ""Célia Zolynski"" ]",rapport,Comité Nationale Pilote d'Ethique du Numérique,,CNPEN,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_120657-rmc
Loi de réforme de la justice (2019) interdisant le profiling des juges,2019,"[ ""Sumi Saint-Auguste"", ""Hugo Ruggieri"" ]",texte législatif,Légifrance,"Loi 2019-222 du 23 mars 2019 de programmation et de réforme de la Justice. Vue de la section 3 : concilier la publicité des décisions de justice et le droit au respect de la vie privée (article 33). Cette loi interdit ce qui est appelé le profilage des juges, craint avec l'open data des décisions de justice.",Assemblée Nationale,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_154928-x7a
Présentation du lab d'innovation du ministère des armées,2020,"[ ""Frédéric Bardolle"" ]",vidéo,Twitter,"Vidéo de promotion du lab d'innovation du ministère des armées. Vue des locaux, description sommaire du travail de data scientist et démo de quelques outils de visualisation (Anais)",Ministère des Armées,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221115_134718-f9l
How target figured out a teen girl was pregnant before her father did,2012,"[ ""Frédéric Bardolle"" ]",article (presse spécialisée),Forbes,"Article rendant compte la capacité de Target à suivre les clients à un nouveau niveau avec l'aide du génie statistique Andrew Pole. En conséquence, Target a pu envoyer des coupons à une fille enceinte.",Kashmir Hill,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221024_154255-v4p
TikTok Transparency Center (launch),2020,"[ ""Lucie Ronfaut"" ]",article de blog,Tik Tok (website),,Tik Tok,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_161722-40d
"Entretien avec Karl Pineau | Designer, c'est manipuler...",2022,"[ ""Célia Zolynski"" ]",article de blog,CNNum,,Karl Pineau,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_170703-x62
Article NYT - Frances Haugen appelle à une régulation de Facebook,2021,"[ ""Cécile Crichton"" ]",article de presse,New York Times,"Article de presse du New York Times sur les révélations de Frances Haugen à propos du fonctionnement de l'algorithme de Facebook. Considérée comme lanceuse d'alerte, elle a détaillé les dommages sur la société et notamment sur la jeunesse.",N/A,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_105614-27f
Tik Tok Algorithm explained,2020,"[ ""Lucie Ronfaut"" ]",article de presse,WIRED,,Louise Matsakis,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_163145-wzy
L'économie de l'attention saisie par le droit,2019,"[ ""Célia Zolynski"" ]",article scientifique,Dalloz,Article sur un plaidoyer pour un droit à la protection de l'attention,"Célia Zolynski, Marylou Le Roy, François Levin","[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_125427-i9s
"Article de Jenna Burrell - How the machine ""thinks""",2016,"[ ""Cécile Crichton"" ]",article scientifique,Big Data and Society,"How the machine ""thinks"" : understanding opacity in machine learning algorithms. (opacity, machine learning ML, classification, inequality, discrimination, spam filtering)",Jenna Burrell,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_162936-s7g
Auditing the Effect of Social Network Recommendations on Polarization in Geometrical Ideological Spaces,2021,"[ ""P.Ramaciotti Morales"" ]",article scientifique,HAL,,"Pedro Ramaciotti Morales, Jean-Philippe Cointet","[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_212830-9or
Projet de loi pour une République numérique. La loyauté des plateformes (CNNum),2015,"[ ""Dominique Cardon"", ""Cécile Crichton"", ""Célia Zolynski"" ]",rapport,Site du CNNum,"Fiche de synthèse du Conseil National du Numérique à propos du ""Projet de loi pour une République numérique"" et, plus spécifiquement, du thème de la loyauté des plateformes",CNNum,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_165217-p1v
Rendre la complexité intelligible ou de la régulation des algorithmes,2017,"[ ""Hubert Guillaud"" ]",slides,FING,"Présentation des pistes d'innovation NosSystèmes, groupe de travail de la Fondation Internet Nouvelle Génération (FING)","Hubert Guillaud, Thierry Marcou","[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_200723-oj0
Auditions CNCDH,2021,"[ ""Célia Zolynski"" ]",tweet,Twitter,Twits de la Commission Nationale Consultative des Droits de l'Homme,CNCDH,"[ ""3.3. Optimiser les algorithmes"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_130613-ah8
Algorithm Watch forced to shut down Instagram monitoring,2021,"[ ""PA Chevalier"" ]",article de blog,Algorithm Watch,Facebook révoque l'accès aux données Instagram de Algorithm Watch dans le cadre de leur campagne/projet de recherche pour comprendre l'algorithme de recommandation de contenus,Nicolas Kayser-Bril,"[ ""3.3. Optimiser les algorithmes"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_115630-0vp
Régularisation (extrait de thèse Sébastien Loustau),2008,"[ ""Sébastien Loustau"" ]",thèse de doctorat,,Régularisation de modèles pour éviter le sur-apprentissage,Sébastien Loustau,"[ ""3.3. Optimiser les algorithmes"", ""1.5. Institutionnaliser l'IA comme discipline"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_000433-0h9
ÉVALUER LA CAPTOLOGIE ET LE DESIGN PERSUASIF DES SERVICES NUMÉRIQUES,2021,"[ ""Célia Zolynski"" ]",article scientifique,ADBS,Approche empirique de mesure de la persuasion et proposition d’une matrice d’évaluation,Karl Pineau et Aurélia Fabre,"[ ""3.3. Optimiser les algorithmes"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_171704-l6l
Open Terms Archive,2022,"[ ""Cécile Crichton"" ]",présentation (projet),Ambassadeur pour le numérique,Open Terms Archive - outil d'analyse pour comparer les conditions générales de vente et d'utilisation des fournisseurs de services numériques.,Ambassadeur pour le numérique,"[ ""3.3. Optimiser les algorithmes"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_155334-vp6
Algotransparency,2021,"[ ""Frédéric Bardolle"" ]",présentation (projet),Site du projet,"Site du projet Algotransparency lancé par Guillaume Chaslot, ancien employé chez Youtube. Le projet cherche à comprendre comment l'algorithme de Youtube est fait et comment il oriente le type de contenus regardés.",,"[ ""3.3. Optimiser les algorithmes"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_204707-fl6
Designing Deep Reinforcement Learning for Human Parameter Exploration,2021,"[ ""Hugo Scurto"" ]",article scientifique,Arxiv,,Hugo Scurto et al.,"[ ""3.3. Optimiser les algorithmes"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_152654-rda
DEFENDER,2022,"[ ""Cédric Buron"" ]",présentation (projet),Site de DEFENDER,"Page de présentation du projet européen DEFENDER, dédié à la protection des infrastructures énergétiques critiques",DEFENDER,"[ ""3.3. Optimiser les algorithmes"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_134027-r7x
Nudge,2008,"[ ""Célia Zolynski"", ""Cécile Crichton"" ]",livre,Yale University Press,La méthode douce pour inspirer la bonne décision,Thaler et Sunstein,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_120020-gc4
Pour un web des lumières | UNESCO,2021,"[ ""Célia Zolynski"" ]",programme,UNESCO,Colloque organisé par l'UNESCO : remettre la culture numérique au service du projet d'émancipation des Lumières,UNESCO,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_170436-mgo
Neutralité des plateformes - CNNUM,2014,"[ ""Cécile Crichton"" ]",rapport,CNNUM,Rapport du Conseil National du Numérique sur la neutralité des plateformes remis au ministre de l'économie.,CNNUM,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_165441-927
La forme des choix | CNIL,2019,"[ ""Célia Zolynski"" ]",rapport,CNIL,,Linc,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_115850-t0k
Votre attention s'il vous plaît ! CNNum,2022,"[ ""Célia Zolynski"" ]",rapport,CNNum,Quels leviers face à l'économie de l'attention,CNNum,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_120837-ty0
Incitations par le targeting (thread Twitter),2020,"[ ""Lucie Ronfaut"" ]",tweet,Twitter,Boucle algorithmique pour perdre du poids,Lucie Ronfaut,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_162141-gn5
Colloque - droit du numérique et crise de l'attention?,2021,"[ ""Célia Zolynski"" ]",programme,Zoom,"Colloque Droit du numérique crise de l'attention organisé par Celia Zolynski, Yves Citton",,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_174442-msf
"MenstrueTech, les applications qui font débat",2018,"[ ""Lucie Ronfaut"" ]",article de presse,Vox,,Kaitlyn Tiffany,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_162652-nss
Genius,2010,"[ ""Cédric Buron"" ]",présentation (projet),Site de la TU Delft,"Page de présentation de Genius, une plateforme de négociation Java créée par la TU Delft",TU Delft,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_133744-172
Pourquoi Bercy missionne des entreprises privées pour faire le travail des fonctionnaires,2022,"[ ""Damien Robinet"" ]",article de presse,Le parisien,"Le ministère des Finances paie des sociétés privées pour déployer rapidement les réformes, gagner en productivité ou faire appel à des experts qu’elle n’a pas sous la main. En interne, face aux nombreuses suppressions de postes de ces dernières années, la méthode attise la colère des agents.",Aurélie Lebelle,"[ ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_172353-7fn
Travail d'annotation - Programme Open Law,2017,"[ ""Sumi Saint-Auguste"" ]",compte rendu,Open Law,"Vue de l'interface de l'outil d'annotation Open source Brat, utilisé par le programme d'initiation IA et Droit proposé par Open Law aux professionnels du droit. Taxonomie utilisée par les juristes pour l'annotation.",Open Law,"[ ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_154611-vww
Aaron Benanav,2020,"[ ""RYBN"" ]",livre,éditions divergences,L'automatisation et le futur du travail,Aaron Benanav,"[ ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_145216-hf1
"Médecins et patients dans le monde des data, des algorithmes et de l'intelligence artificielle",2018,"[ ""Ninon Burgos"" ]",livre blanc,Site,Analyses et recommandations du Conseil National de l'Ordre des Médecins (Cnom) en matière de santé numérique,Cnom,"[ ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_152253-y5m
Profil LinkedIn Souheil Hanoune,2022,"[ ""William Eldin"" ]",profil,LinkedIn,"Profil LinkedIn Souheil Hanoune, Data scientist chez Group XXII",,"[ ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_131656-hm0
Le contrôle humain dans les systèmes de décision,2022,"[ ""Célia Zolynski"" ]",slides,CNCDH,,Maxwell,"[ ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_120500-k76
"Alerte solennelle pour une DGFiP renforcée, reconnue et réhumanisée",2022,"[ ""Damien Robinet"" ]",tract,Solidaires Finances Publiques,"Orientation qui s’appuie sur les fondamentaux revendicatifs de notre syndicat afin que la DGFiP reste au cœur de la vie des usagères et usagers (particuliers, professionnels, collectivités), au service de la justice fiscale, sociale et environnementale.",,"[ ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_154810-ekz
